标题,户型,面积,朝向,楼层,建造年份,小区名称,区域,商圈,地址,标签,总价(万),单价(元/㎡)
5字头还享国补折上折！31房2卫！低密小高层！7号地铁物业,3室2厅2卫,88.63㎡,南北,中层(共11层),2004年建造,郁金香家园,南山,西丽,龙珠六路32号,"南北,近地铁",568,64087元/㎡
新上！观海台凤凰层南北通三房，视野无遮挡！带车位  地铁口,3室2厅2卫,108.2㎡,南北,高层(共18层),2003年建造,观海台花园,南山,后海,创业路4号,"南北,热门小区,新上小区,优势户型",1399,129298元/㎡
福田 电梯房 高绿化 临地铁 南北通透 精装可拎包入住,3室2厅1卫,83.8㎡,南北,中层(共33层),2004年建造,城中雅苑,福田,福田中心区,民田路61号,"南北,满五年,近地铁,绿化率高",750,89499元/㎡
香诗美林 带精装60万大三房看一条龙山景,3室2厅1卫,113.25㎡,南北,高层(共26层),2005年建造,金众香诗美林,福田,竹子林,竹子林四路8号,"南北,满二年,近地铁",880,77705元/㎡
新上诚出 罗湖热门社区 中高层南向三房两厅 生活配套齐全,3室2厅1卫,85.08㎡,南,高层(共18层),2003年建造,名骏豪庭,罗湖,莲塘,港莲路20号,"南,满五年,近地铁,绿化率高",380,44664元/㎡
4房业主向市场妥协！精装，满五年急售，价格私聊,4室2厅2卫,130.57㎡,南北,高层(共32层),2011年建造,家和盛世(一期),龙岗,龙城国际,龙福西路111号,"南北,满五年,近地铁,车位充足",666,51008元/㎡
翠园本部！总价316！景贝南   楼层 近地铁 随时方便看房,3室2厅1卫,91㎡,南,中层(共7层),1985年建造,景贝南住宅区,罗湖,黄贝岭,黄贝路1008号,"南,近地铁,次新房",325,35715元/㎡
金融街业主急售大四房，高楼层双地铁，凤凰城，万达广场,4室2厅2卫,115.13㎡,北,高层(共37层),2020年建造,金融街华发融御华府,光明,光明,科能路,"北,热门小区,近地铁,配套成熟",420,36481元/㎡
南山书城 正东名苑 开发商保留单位 复式4房3卫 交易税费少,4室2厅3卫,130㎡,东南,中层(共43层),2022年建造,正东名苑,南山,南山中心区,海德二道,"东南,满五年,近地铁,次新房",938,72154元/㎡
联投二期，新出大3房，高楼层，朝南看花园，急售！,3室2厅2卫,81.21㎡,南北,高层(共32层),2017年建造,联投东方华府(二期),宝安,松岗,东方大道38号,"南北,唯一住房",315,38789元/㎡
合昌十里花都精装三房两卫，近万科里商业，地铁，中低楼层朝南,3室2厅2卫,90.03㎡,东南,低层(共48层),2024年建造,和昌拾里花都,龙岗,南联,下龙塘路,"东南,满二年,近地铁,次新房",228,25325元/㎡
宝安中心次新小区 玖玖颂阁业主诚出     精装修送家私电,3室2厅2卫,89.74㎡,南,高层(共31层),2024年建造,玖玖颂阁,宝安,流塘,新安四路265号,"南,满二年,近地铁",478,53265元/㎡
26年全新上线的颐安二期厅出精装3房，满五年，密码随时看！,3室2厅2卫,87.84㎡,南,低层(共29层),2016年建造,颐安都会中央(二期),龙岗,大运,"龙岗大道,近爱南路","南,满五年,近地铁,车位充足",358,40756元/㎡
停车方便 临地铁 双卫 小三居 带电梯 商业配套齐全,3室2厅2卫,89㎡,东南,低层(共31层),2017年建造,宏发天汇城(一期),光明,公明,松白路4699号,"经纪人力荐,东南,有电梯,近地铁",305,34270元/㎡
宝安豪宅小区 华丰前海湾 89平双龙抱珠 看海景东南向诚意售,3室2厅2卫,83㎡,南,低层(共31层),2016年建造,华丰前海湾(一期),宝安,西乡,兴业路,"南,唯一住房,近地铁,车位充足",530,63856元/㎡
西丽地铁口大三房！业主诚心出售！,3室2厅2卫,103.5㎡,西北,低层(共22层),2004年建造,南国丽城,南山,西丽,留仙大道1306号,"西北,满五年,近地铁",626,60484元/㎡
14号线石芽岭，3站福田，1站布吉站，近电梯，价格可谈,3室2厅1卫,92.48㎡,西,中层(共29层),2006年建造,中海怡瑞山居,布吉,慢城,景芬路1号,"西,满五年,近地铁,采光较好",249.5,26979元/㎡
学林雅院两房 安静 楼层好 红本满五年,2室2厅1卫,69㎡,南北,低层(共7层),2001年建造,学林雅院,南山,南山中心区,学府路99号,"经纪人力荐,南北,满五年,近地铁",410,59421元/㎡
精装朝南安静三房诚心出售,3室2厅1卫,80.48㎡,南,低层(共26层),2008年建造,泰华阳光海,宝安,碧海湾,悦和路6号,"南,热门小区,近地铁,配套成熟",530,65855元/㎡
今日推荐3房 （业主包税）可按揭！带全屋家私！送车位！有钥匙,3室2厅2卫,92.15㎡,南,中层(共13层),2018年建造,红山6979,龙华,民治,民繁路,"经纪人力荐,南,满五年,近地铁",320,34726元/㎡
花园环绕，人车分流，性价比高，益强加红岭，急售看房方便！！！,3室2厅2卫,95.22㎡,东,低层(共32层),2002年建造,新新家园,福田,石厦,石厦街35号,"东,唯一住房,近地铁,绿化率高",470,49360元/㎡
自己家里的房子看房，找我看房方便。,3室2厅1卫,86.55㎡,南北,低层(共54层),2022年建造,京基水贝时代广场,罗湖,水贝,水贝一路,"南北,热门小区,新上小区,随时可看",628,72560元/㎡
松茂御龙湾 双卫生间 医疗配套成熟 刚需小三居 精装好房,3室2厅2卫,89.58㎡,西北,高层(共31层),2016年建造,松茂御龙湾,宝安,碧海湾,银田路,"西北,近地铁,车位充足",600,66980元/㎡
16号线地铁口，精装三房两卫，南北通透，安静看花园，空中露台,3室2厅2卫,95.7㎡,南北,低层(共33层),2020年建造,京基御景中央(二期),龙岗,大运,飞扬路,"南北,唯一住房,近地铁,车位充足",435,45455元/㎡
（新挂）园岭红岭本部大三房，价格非常哇塞，不敢想象,3室2厅1卫,90㎡,南北,中层(共8层),1984年建造,园岭新村,福田,园岭,笋岗西路2057号,"南北,热门小区,房东急售,随时可看",440,48889元/㎡
后海海月花园一期中间楼层户型方正近地铁看房安静看花园业主急售,3室2厅2卫,96㎡,南北,中层(共7层),2002年建造,招商海月花园(一期),南山,后海,海月路43号,"南北,满五年,近地铁",818,85209元/㎡
温馨两室两厅，公园环绕，地铁便捷，理想居家选择！,2室2厅1卫,72㎡,西,中层(共40层),2024年建造,新天石厦铭苑,福田,石厦,石厦路,"西,有电梯,近地铁,次新房",499,69306元/㎡
翰岭花园带露台三房，大花园泳池社区，业主诚心出售！！,3室2厅1卫,88.43㎡,东北,低层(共17层),2005年建造,翰岭院,福田,上梅林,彩田北路7024号,"东北,满五年,近地铁",558,63101元/㎡
精装大3房 拎包入住 业主换房诚售 价格可谈 看房方便,3室2厅1卫,93.54㎡,南北,低层(共7层),2025年建造,景贝南住宅区,罗湖,黄贝岭,黄贝路1008号,"南北,近地铁,次新房,户型方正",400,42763元/㎡
业主急急急 南向大两房 刚需上车   空出,2室2厅1卫,70.48㎡,南,低层(共9层),2001年建造,星海名城(一期),南山,前海,前海路3101号,"南,满五年,近地铁,绿化率高",385,54626元/㎡
新挂盘深业东岭三房东南，高层，红本满五年翠园本部,3室2厅1卫,92㎡,南,高层(共45层),2017年建造,深业东岭,罗湖,黄贝岭,深南东路1002号,"南,热门小区,南北通透,交易周期可谈",435,47283元/㎡
宝安笋盘！凤凰世纪花园 租金3q       送车位,3室2厅2卫,75㎡,南北,低层(共26层),2019年建造,凤凰世纪花园,宝安,塘尾,大洋路168号,"南北,满五年,近地铁",95,12667元/㎡
楼下万达广场，送全屋家私家电，送产权车位。精装修三房，,3室2厅1卫,80.39㎡,南北,中层(共19层),2022年建造,碧桂园翡翠山,深圳周边,惠州,大亚湾大道232号,"南北,满五年,次新房,户型方正",37,4603元/㎡
558买前海五房，安静采光好，精致装修，诚心出售！,5室2厅2卫,85.55㎡,西北,中层(共33层),2008年建造,诺德假日花园,南山,前海,前海路0369号,"西北,满五年,近地铁,绿化率高",558,65226元/㎡
找房，业主在国外，移民处理资产,3室2厅1卫,101㎡,南北,低层(共39层),2017年建造,中海天钻,罗湖,蔡屋围,滨河路1015号,"南北,满五年,近地铁,车位充足",799,79109元/㎡
双育才电梯又大又便3房！随时看   ~,3室2厅2卫,94㎡,南北,低层(共30层),1995年建造,华彩花园,南山,蛇口,工业七路40号,"南北,满五年,近地铁,采光较好",430,45745元/㎡
香蜜三村 双卫 出行方便 满五 医疗配套成熟 刚需小三居,3室2厅2卫,99㎡,北,中层(共18层),1995年建造,香蜜三村,福田,景田南,景田南四街30号,"北,热门小区,近地铁,价格优惠",380,38384元/㎡
南山换房低门槛 买房享国补 5xx入手厅出阳台南向大三房,3室2厅1卫,89.23㎡,南,低层(共35层),2008年建造,桃源村(三期),南山,桃源村,龙珠八路8号,"南,满五年,近地铁",535,59958元/㎡
南山意境 交通便捷 商品住宅 双卫 医疗配套成熟 豪华精装,3室2厅2卫,77.1㎡,南北,低层(共32层),2012年建造,南山意境,南山,南头,南青路18号,"南北,满五年,近地铁,多人关注",250,32426元/㎡
南山前海半山豪宅山语海刚需三房 高楼层正南向五字头带走满五,3室2厅1卫,87.99㎡,南北,中层(共17层),2016年建造,山语海,南山,前海,少帝路,"南北,满五年,近地铁,车位充足",570,64781元/㎡
花园城一期三房价格可谈,3室2厅1卫,90.51㎡,西南,高层(共16层),2001年建造,花园城(一期),南山,蛇口,南海大道1145号,"西南,有电梯,近地铁,车位充足",680,75130元/㎡
星河天地(一三期) 交通便捷 产权清晰 满五   正南朝向,3室2厅2卫,89.04㎡,南,低层(共49层),2020年建造,星河天地(一三期),光明,光明,光明大道511号,"南,满五年,近地铁,采光较好",292,32795元/㎡
环境优美 临地铁 满五   医疗配套成熟 正规商品房 双卫,4室2厅2卫,97.44㎡,南,低层(共19层),2002年建造,丽景城,宝安,西乡,前进二路100号,"南,热门小区,房东急售,随时可看",439,45054元/㎡
南山地铁口3XX三房 急卖 看房方便,3室2厅1卫,84.36㎡,东,中层(共23层),2000年建造,荔园大厦,南山,南山中心区,桂庙路24号,"东,满五年,近地铁,采光较好",338,40067元/㎡
的存在，代号468地铁口社区，楼下天虹商圈业主无条件配合,3室2厅2卫,87.64㎡,西南,中层(共28层),2012年建造,合正汇一城,宝安,西乡,"新湖路,近悦和路","西南,满五年,近地铁,车位充足",515,58764元/㎡
近地铁 商业配套成熟 南北通透 刚需小三居 高楼层视野无遮挡,3室2厅1卫,86.25㎡,南北,高层(共25层),2006年建造,豪方悠然居,南山,蛇口,工业八路,"南北,满五年,近地铁",680,78841元/㎡
宝安地铁613号300 线嘉信云峰96平三房正南向户型通透,3室2厅2卫,96.93㎡,南,低层(共45层),2020年建造,嘉信云峰公馆,宝安,石岩,横坑工业大道2号,"南,满五年,近地铁,户型方正",280,28887元/㎡
龙华区政府 出行方便 商圈成熟 双卫 近地铁 南北通透,3室2厅2卫,94.62㎡,南北,低层(共31层),2020年建造,锦顺星苑,龙华,龙华区政府,碧澜路,"经纪人力荐,南北,近地铁,车位充足",300,31706元/㎡
星河天地四期精装四房诚售,4室2厅2卫,113㎡,西北,高层(共45层),2024年建造,星河天地(四期),光明,光明,"东周一街,近东周三街","西北,热门小区,南北通透,价格优惠",495,43806元/㎡
产权清晰 朝向好 满五   双卫格局 带电梯 小区新,3室2厅2卫,111.61㎡,东南,低层(共32层),2017年建造,京基御景峯,南山,大学城,长源二街12号,"东南,满二年,近地铁,车位充足",640,57343元/㎡
二口价380 有私家露台，电梯3房，宝安中心区的位置性价比高,3室2厅1卫,80.49㎡,西南,中层(共11层),2001年建造,中南花园,宝安,宝安中心区,宝安大道1068号,"西南,满二年,近地铁,采光较好",398,49448元/㎡
1T队的荔园西红岭本部，端头户型双面采光 ，出行无忧!,3室1厅1卫,80.95㎡,南北,中层(共31层),2003年建造,玮鹏花园,福田,华强北,振中路1号,"南北,近地铁",504,62261元/㎡
福田07年花园社区，使用率    大三房，499可入手,3室2厅1卫,89.27㎡,南北,高层(共34层),2008年建造,水木澜山居,福田,上梅林,梅东三路2号,"南北,满五年,近地铁,车位充足",510,57131元/㎡
南富苑~明厨明卫采光好~看房随时~拎包入住,3室2厅2卫,85㎡,南北,中层(共12层),2019年建造,南富苑,南山,南头,南富苑二街18号,"南北,满五年,近地铁",100,11765元/㎡
5字头还享国补折上折！31房2卫！低密小高层！7号地铁物业,3室2厅2卫,88.63㎡,南北,中层(共11层),2004年建造,郁金香家园,南山,西丽,龙珠六路32号,"南北,热门小区,房东急售,随时可看",568,64087元/㎡
万科天誉新上三房，高楼层视野好，安静不吵,3室2厅2卫,89.51㎡,东北,高层(共50层),2017年建造,万科天誉(二期),龙岗,龙岗中心城,"龙翔大道,近德政路","东北,满五年,近地铁",338,37762元/㎡
1.29法拍房雅福居663万起拍，包按揭过户清房,3室2厅2卫,89.14㎡,南北,中层(共11层),2010年建造,雅福居,福田,香蜜湖,侨香三道28号,"南北,近地铁",663,74378元/㎡
4房，送平台50平方，住家可以，楼层可以，南向,4室2厅1卫,75.74㎡,东南,低层(共7层),1997年建造,南威中心花园,布吉,南岭,湖东路58号,"经纪人力荐,东南,满五年,近地铁",178,23502元/㎡
半山海景兰溪谷二期标准2房2厅1卫业主诚心卖看房方便有钥匙,2室2厅1卫,83.23㎡,南北,高层(共31层),2008年建造,半山海景兰溪谷(二期),南山,蛇口,沿山路6号,"南北,满五年,近地铁,绿化率高",700,84105元/㎡
京基御景中央(二期) 有电梯 商品住宅 小三房 满五,3室2厅2卫,94.91㎡,南,低层(共33层),2020年建造,京基御景中央(二期),龙岗,大运,飞扬路,"南,满五年,近地铁,车位充足",399.9,42135元/㎡
急售！深中南创旁 电梯次新房 精装修 保养好 随时看房,3室2厅2卫,98.82㎡,南北,中层(共40层),2017年建造,万科云城(三期),南山,西丽,打石二路1号,"南北,热门小区,近地铁,配套成熟",440,44526元/㎡
枫丹雅苑，安静三房，诚心出售,3室2厅2卫,95.37㎡,西北,中层(共28层),2001年建造,枫丹雅苑,福田,香蜜湖,香水一街1号,"西北,满五年,近地铁,采光较好",860,90176元/㎡
金融街业主急售大四房，高楼层双地铁，凤凰城，万达广场,4室2厅2卫,115.13㎡,北,高层(共37层),2020年建造,金融街华发融御华府,光明,光明,科能路,"北,热门小区,近地铁,配套成熟",420,36481元/㎡
新出！新天石厦铭苑，朝南，采光充足，带地面花园，近地铁,3室2厅1卫,88㎡,南,中层(共40层),2024年建造,新天石厦铭苑,福田,石厦,石厦路,"南,有电梯,近地铁,次新房",660,75000元/㎡
观望一次涨一次，朋友，是不是还要重复  的故事,3室2厅2卫,85㎡,南,中层(共25层),2006年建造,凤凰世纪花园,宝安,塘尾,大洋路168号,"南,满五年,近地铁",120,14118元/㎡
荣超新出89平大三房   小区俩   看房随时方便！,3室2厅1卫,89㎡,南北,低层(共41层),2016年建造,城市春天花园,福田,华强南,福华路30号,"南北,满五年,近地铁",530,59551元/㎡
中粮天悦壹号88平双龙宝珠带1000平大露台带正规篮球场,3室2厅2卫,87.99㎡,南北,低层(共45层),2018年建造,中粮天悦壹号,宝安,新安,新安二路,"南北,热门小区,房东急售,随时可看",700,79555元/㎡
香山里 荀的一套，诚心出售，安静，看花园,3室2厅2卫,151.55㎡,南北,高层(共33层),2011年建造,波托菲诺香山里,南山,华侨城,侨北三街8号,"南北,满五年,近地铁,采光较好",1230,81162元/㎡
